id,nome,categoria,grupo_muscular,equipamento,nivel,slug
treino_045,Elevação Pélvica no Solo com Peso Corporal,Ativação / Hipertrofia,Glúteos,Nenhum,['Iniciante'],elevacao_pelvica_no_solo_com_peso_corporal
treino_046,Cadeira Abdutora,Hipertrofia,Abdutores,Máquina abdutora,"['Iniciante', 'Intermediário', 'Avançado']",cadeira_abdutora
treino_047,Stiff Unilateral,Hipertrofia,Glúteos / isquiotibiais,Peso do corpo,['Intermediário'],stiff_unilateral
treino_048,Glúteo 4 Apoios com Perna Estendida e Caneleira,Hipertrofia,Glúteos / isquiotibiais,Caneleira,['Intermediário'],gluteo_4_apoios_com_perna_estendida_e_caneleira
treino_049,Glúteo 4 Apoios com Caneleira,Hipertrofia,Glúteos / isquiotibiais,Caneleira,['Intermediário'],gluteo_4_apoios_com_caneleira
treino_050,Abdução com Caneleira,Hipertrofia,Abdutores / glúteos,Caneleira,['Intermediário'],abducao_com_caneleira
treino_051,Glúteo em Pé – Coice,Hipertrofia,Glúteos / isquiotibiais,Máquina de glúteo em pé,['Intermediário'],gluteo_em_pe_coice
treino_052,Agachamento Búlgaro com Halteres,Hipertrofia,Glúteos / isquiotibiais / quadríceps,"Banco, caixote, step ou aparelho de búlgaro + halteres",['Avançado'],agachamento_bulgaro_com_halteres
treino_053,Afundo com Recuo e Rosca Direta,Emagrecimento / Funcional,Membros inferiores / bíceps,,['Intermediário'],afundo_com_recuo_e_rosca_direta
treino_054,Afundo com Recuo e Halteres,Hipertrofia – Membros Inferiores,Quadríceps / Glúteos / Isquiotibiais,Halteres,['Iniciante'],afundo_com_recuo_e_halteres
treino_055,Glúteo Coice no Cabo – Polia Baixa,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,Crossover,['Avançado'],gluteo_coice_no_cabo_polia_baixa
treino_056,Glúteo na Polia com Cabo no Quadríceps,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,Crossover,['Intermediário'],gluteo_na_polia_com_cabo_no_quadriceps
treino_057,Agachamento Sumô no Step,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,Halteres / Dumbbells / Step,['Avançado'],agachamento_sumo_no_step
treino_058,Levantamento Terra Sumô,Hipertrofia – Membros Inferiores,Isquiotibiais,Barra livre,['Avançado'],levantamento_terra_sumo
treino_059,Agachamento Sumô na Máquina,Hipertrofia – Membros Inferiores,Isquiotibiais,Máquina sumô,['Avançado'],agachamento_sumo_na_maquina
treino_060,Búlgaro no Smith,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,"Smith + aparelho de búlgaro, banco ou caixote",['Avançado'],bulgaro_no_smith
treino_061,Elevação Pélvica,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,Máquina de elevação pélvica,['Intermediário'],elevacao_pelvica
treino_062,Máquina de Elevação Pélvica,Hipertrofia – Membros Inferiores,Glúteos / Isquiotibiais,Máquina de elevação pélvica,['Intermediário'],maquina_de_elevacao_pelvica
treino_063,Cadeira Flexora,Hipertrofia – Membros Inferiores,Isquiotibiais,Cadeira flexora,['Avançado'],cadeira_flexora
treino_064,Mesa Flexora,Hipertrofia – Membros Inferiores,Isquiotibiais,Mesa flexora,['Avançado'],mesa_flexora
treino_065,Stiff,Hipertrofia – Membros Inferiores,Isquiotibiais,Barra livre,['Avançado'],stiff
treino_066,Panturrilha Sentada,Hipertrofia – Panturrilhas,Panturrilhas / Gêmeos,Máquina de panturrilha sentada,['Intermediário'],panturrilha_sentada
treino_067,Subida no Caixote Segurando no Espaldar,Hipertrofia – Membros Inferiores,Isquiotibiais / Quadríceps,Caixote e espaldar,['Iniciante'],subida_no_caixote_segurando_no_espaldar
treino_068,Full Body – Agachamento Sumô com Elevação Frontal,Full Body / Funcional,Membros inferiores / Ombros,Kettlebell,['Intermediário'],full_body_agachamento_sumo_com_elevacao_frontal
treino_069,Agachamento com Desenvolvimento,Full Body / Funcional,Quadríceps / Glúteos / Isquiotibiais / Ombros,Halteres,['Iniciante'],agachamento_com_desenvolvimento
treino_070,Full Body – Agachamento com Desenvolvimento Unilateral Alternado,Full Body / Funcional,Quadríceps / Isquiotibiais / Glúteos,Halteres,['Iniciante'],full_body_agachamento_com_desenvolvimento_unilateral_alternado
treino_071,Supino Reto Articulado – Pegada Neutra,Hipertrofia – Peitoral,Peitoral,Máquina de supino articulada,['Intermediário'],supino_reto_articulado_pegada_neutra
treino_072,Supino Reto – Pegada Supinada na Máquina Articulada,Hipertrofia – Peitoral,Peitoral,Supino reto articulado,['Intermediário'],supino_reto_pegada_supinada_na_maquina_articulada
treino_073,Supino Inclinado – Pegada Neutra,Hipertrofia – Peitoral,Peitoral,Máquina de supino inclinado articulado,"['Intermediário', 'Avançado']",supino_inclinado_pegada_neutra
treino_074,Supino Inclinado – Pegada Supinada,Hipertrofia – Peitoral,Peitoral,Supino articulado inclinado,"['Intermediário', 'Avançado']",supino_inclinado_pegada_supinada
treino_075,Supino com Halteres no Banco Inclinado,Hipertrofia – Peitoral,Peitoral,Banco e halteres,"['Intermediário', 'Avançado']",supino_com_halteres_no_banco_inclinado
treino_076,Peitoral no Peck Fly,Hipertrofia – Peitoral,Peitoral,Peck Fly,"['Iniciante', 'Intermediário', 'Avançado']",peitoral_no_peck_fly
treino_077,Puxada com Barra Longa,Hipertrofia – Costas,Dorsal,Máquina de puxada alta,"['Intermediário', 'Avançado']",puxada_com_barra_longa
treino_078,Barra Fixa no Graviton,Hipertrofia – Costas,Grande dorsal,Graviton,"['Intermediário', 'Avançado']",barra_fixa_no_graviton
treino_079,Puxada com Triângulo,Hipertrofia – Costas,Dorsal,Máquina de puxada,"['Intermediário', 'Avançado']",puxada_com_triangulo
treino_080,Puxada com Barra W,Hipertrofia – Costas,Dorsal,Máquina de puxada,"['Intermediário', 'Avançado']",puxada_com_barra_w
treino_081,Face Pull,Hipertrofia – Costas,Ombros / Dorsal,Crossover ou Crosmith,"['Intermediário', 'Avançado']",face_pull
treino_082,Pulldown com Barra Reta,Hipertrofia – Costas,Ombros / Dorsal,Crossover ou Crosmith,"['Intermediário', 'Avançado']",pulldown_com_barra_reta
treino_083,Puxada Alta com Corda,Hipertrofia – Costas,Dorsal,Crossover ou Crosmith,"['Intermediário', 'Avançado']",puxada_alta_com_corda
treino_084,Remada Sentada com Triângulo,Hipertrofia – Costas,Dorsal,Máquina de remada,"['Intermediário', 'Avançado']",remada_sentada_com_triangulo
